label,AI,AIParam,Enemy,Info1(Arts CoolDown SelectInit SelectUp UseCount),Info2,Info3,Info4,Info5,Info6,Info7,Info8
E_CCM200_CV05_A,Normal,0,E_CCM200_CV05_A,['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_CCM200_CV05_B,Normal,0,E_CCM200_CV05_B,['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_CCM200_CV05_C,Normal,0,E_CCM200_CV05_C,['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_CCM200_CV05_D,Normal,0,E_CCM200_CV05_D,['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_CCM200_CV05_E,Normal,0,E_CCM200_CV05_E,['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
MOBJ,Normal,0,MOBJ,['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_M0010_TEST,Normal,0,E_M0010_TEST,['EN_M001_A02a','0','4','6','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_M0020_TEST,Normal,0,E_M0020_TEST,['EN_M002_A01a','0','4','5','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_M0100_TEST,Normal,0,E_M0100_TEST,['EN_M010_A01a','0','4','4','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
E_M0110_TEST,Normal,0,E_M0110_TEST,['EN_M011_A01a','0','6','6','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None'],['None','0','0','0','None']
