label, speaker, text
W04_WRLD_COMM_000_TITLE, UI, The Mare Nostrum
W04_WRLD_COMM_000_DETAIL, UI, A large ocean on the other side of the storm. You're seemingly being guided somewhere within it.
W04_EVAR_COMM_BASE_CATHEDRAL_STORM_000_TITLE, UI, Abnormal Weather
W04_EVAR_COMM_BASE_CATHEDRAL_STORM_000_DETAIL, UI, If you enter this storm, you maybe be able to leave for another world.
W04_EVAR_COMM_BASE_CATHEDRAL_STORM_000_BUTTON, UI, Enter the Storm
W04_LTXT_COMM_NORTH_HARBOR_TITLE, UI, Northern Trade Port
W04_LTXT_COMM_NORTH_HARBOR_DETAIL, UI, The people of this port choose their business partners carefully. If you don't have a sailboat, they won't even give you the time of day.
W04_LTXT_COMM_NORTH_HARBOR_AFTER_TITLE, UI, Northern Trade Port
W04_LTXT_COMM_NORTH_HARBOR_AFTER_DETAIL, UI, On the surface, this is an ordinary port that deals in lumber and smoked fish—but there are rumors of other, shadier transactions taking place here.
W04_LTXT_COMM_SOUTH_HARBOR_TITLE, UI, Southern Trade Port
W04_LTXT_COMM_SOUTH_HARBOR_DETAIL, UI, A bustling port that deals in sugar and textiles. Administered by a dependable, honest harbormaster, it is a source of great support for merchants.
W04_LTXT_COMM_SOUTH_HARBOR_QUEST_TITLE, UI, The Southern Trade Port Awaits News
W04_LTXT_COMM_SOUTH_HARBOR_QUEST_DETAIL, UI, The southern harbormaster is eagerly awaiting your report on the pirate hunt.
W04_LTXT_COMM_SHIP_YARD_TITLE, UI, Shipyard
W04_LTXT_COMM_SHIP_YARD_DETAIL, UI, Pirates and merchants gather in this shipyard, as the craftsmanship of those who work here is valued by fishermen and traders alike.
W04_LTXT_COMM_START_ISLAND_TITLE, UI, Uninhabited Island
W04_LTXT_COMM_START_ISLAND_DETAIL, UI, Objects caught in large storms often end up here, including the wreckage of multiple ships.
W04_LTXT_COMM_PIRATES_ISLAND_TITLE, UI, The Pirates' Base
