label,before,enhanced,needidea,needsozai1,needsozai2,needsozai3,name,price,keepMax
ENHANCE_001,WLAXE_OLD_01,WLLSW01_A,IDEA_PRIDE,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_002,WLAXE_OLD_01,WLRAP01_A,IDEA_SLOTH,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_003,WLAXE_OLD_01,WLDAG01_A,IDEA_LUST,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_004,WLAXE_OLD_01,WLAXE01_A,IDEA_PRIDE,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_005,WHGSW_OLD_01,WHGSW01_A,IDEA_WRATH,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_006,WHGSW_OLD_01,WHSSW01_A,IDEA_ENVY,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_007,WHGSW_OLD_01,WHPSW01_A,IDEA_GLUTTONY,SOZAI_SPIRIT_STONE 1,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_008,WLLSW01_A,WLLSW01_B,_NOT_SPECIFIED_,SOZAI_SPIRIT_STONE 5,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_009,WLLSW01_B,WLLSW04_A,IDEA_FIGHT,SOZAI_IRON_ORE 3,SOZAI_SPIRIT_STONE 10,_NOT_SPECIFIED_ 0,_NOT_SPECIFIED_,0,0
ENHANCE_010,WLLSW01_B,WLLSW02_A,IDEA_MODAN,SOZAI_IRON_ORE 3,SOZAI_SPIRIT_STONE 8,SOZAI_MULLOCK 3,_NOT_SPECIFIED_,0,0
ENHANCE_011,WLLSW01_B,WLLSW05_A,IDEA_WILD,SOZAI_IRON_ORE 3,SOZAI_SPIRIT_STONE 8,SOZAI_BEAST_FANG 3,_NOT_SPECIFIED_,0,0
ENHANCE_012,WLLSW01_B,WLLSW03_A,IDEA_CHAOS,SOZAI_IRON_ORE 3,SOZAI_SPIRIT_STONE 8,SOZAI_SCREAM_ROOT 3,_NOT_SPECIFIED_,0,0
ENHANCE_013,WLLSW04_A,WLLSW04_B,IDEA_FIGHT,SOZAI_MAGIC_STONE 1,SOZAI_SPIRIT_STONE 20,SOZAI_SNAKESKIN 5,_NOT_SPECIFIED_,0,0
ENHANCE_014,WLLSW04_A,WLLSW02_B,IDEA_MODAN,SOZAI_MAGIC_STONE 1,SOZAI_MAGICAL_BEAST_FANG 1,SOZAI_FEATHER 5,_NOT_SPECIFIED_,0,0
ENHANCE_015,WLLSW04_A,WLLSW05_B,IDEA_WILD,SOZAI_MAGIC_STONE 1,SOZAI_MAGICAL_BEAST_BONE 1,SOZAI_BEAST_CLAW 5,_NOT_SPECIFIED_,0,0
ENHANCE_016,WLLSW04_A,WLLSW03_B,IDEA_CHAOS,SOZAI_MAGIC_STONE 1,SOZAI_MAGICAL_BEAST_FANG 1,SOZAI_BEAST_FANG 5,_NOT_SPECIFIED_,0,0
ENHANCE_017,WLLSW02_A,WLLSW02_B,IDEA_MODAN,SOZAI_MAGIC_STONE 1,SOZAI_MAGICAL_BEAST_FANG 1,SOZAI_FEATHER 5,_NOT_SPECIFIED_,0,0
ENHANCE_018,WLLSW05_A,WLLSW05_B,IDEA_WILD,SOZAI_MAGIC_STONE 1,SOZAI_MAGICAL_BEAST_BONE 1,SOZAI_BEAST_CLAW 5,_NOT_SPECIFIED_,0,0
ENHANCE_019,WLLSW03_A,WLLSW03_B,IDEA_CHAOS,SOZAI_MAGIC_STONE 1,SOZAI_MAGICAL_BEAST_FANG 1,SOZAI_BEAST_FANG 5,_NOT_SPECIFIED_,0,0
ENHANCE_020,WLLSW04_B,WLLSW04_C,IDEA_FIGHT,SOZAI_MAGIC_STONE 3,SOZAI_HINOKI 2,SOZAI_FE_DO 20,_NOT_SPECIFIED_,0,0
